,date,name,tweet,stance
15,07,Stephen Twigg,This afternoon I led a debate on the @CommonsIDC report into 'Forced Displacement in Africa'. As a Committee we believe that the UK must do more to share the responsibility of supporting refugees in Africa. pic.twitter.com/P9E0VRMwYo,leave
16,07,Stephen Twigg,Fantastic news that @LHCHFT has been rated ‘Outstanding’ by the Care Quality Commission for the second time. Thank you to all at the Hospital who provide such an important service for patients in Merseyside and beyond  https://www.lhch.nhs.uk/news-archive/2019/july/lhch-is-outstanding-for-a-second-time/ …,leave
17,07,Stephen Twigg,Thanks for coming down today and for speaking out so clearly at the meeting earlier. Hope you enjoyed the river cruise and the London Eye.,no sentiment
18,07,Stephen Twigg,"Hi Simon. @CommonsIDC does have oversight of all ODA but @CommonsPAC oversees all public spending. I am taking part in this inquiry under the new ""guesting"" system.",leave
19,07,Stephen Twigg,"I think I said ""pioneer"" not ""prisoner""!",stay
20,06,Stephen Twigg,Hi Angela - sorry I have only just seen your Tweets. Apologies for missing you today. Let's meet up soon.,stay
21,06,Stephen Twigg,Sorry - only just seen this. Apologies for missing you. Can we arrange to meet locally soon?,stay
22,06,Stephen Twigg,This morning I visited Richard Ratcliffe on the tenth day of his hunger strike to express my solidarity and on behalf of my constituents #FreeNazanin @AmnestyUK @FreeNazanin pic.twitter.com/pozdp26iLn,leave
23,06,Stephen Twigg,"Thank you @YachadUK for the opportunity to be part of tonight's #YachadGala to support your essential work for peace, human rights and justice - great to catch up with some old friends from my youth and to see so many young activists committed to achieving Two States. https://twitter.com/YachadUK/status/1142852830652522508 …",leave
24,06,Stephen Twigg,A truly wonderful evening at @liverpoolphil bringing together children from Liverpool and Sierra Leone to celebrate the power of music @BaldHeadteacher @StVincentsL12 @DanCardenMP @CllrBMurray @garymillar #inharmony #musicinschools https://twitter.com/AllSaintsL4/status/1141795639484919814 …,leave
25,06,Stephen Twigg,Looking forward to tonight's Global Schools' Concert at @liverpoolphil https://twitter.com/BaldHeadteacher/status/1141580447249522688 …,no sentiment
26,06,Stephen Twigg,On #WorldRefugeeDay @tateliverpool and @IRCEurope have joined forces to highlight what we stand to lose if refugees lose our support. I #StandWithRefugees pic.twitter.com/mYKZlNZgLu,leave
27,06,Stephen Twigg,"A hugely significant ruling

UK arms sales to Saudi Arabia for use in Yemen declared unlawful https://www.theguardian.com/law/2019/jun/20/uk-arms-sales-to-saudi-arabia-for-use-in-yemen-declared-unlawful?CMP=Share_AndroidApp_Tweet …",stay
28,06,Stephen Twigg,Fantastic to meet so many Liverpool residents at the @guidedogs #AccessAllAreas lobby today. We must end the illegal refusal of access to services for people with guide dogs pic.twitter.com/xWPOOtutMa,no sentiment
29,06,Stephen Twigg,Thank you. I am keen to help. If there are particular suggestions that I can pursue please email me stephen.twigg.mp@parliament.uk,stay
30,06,Stephen Twigg,I'm proud to support @Tog4ShortLives #ChildrensHospiceWeek. Facilities like @ClaireHouse are a lifeline for families when they're facing the toughest of times. pic.twitter.com/OQc7DvIusW,leave
31,06,Stephen Twigg,Yes!,irrelevant
32,06,Stephen Twigg,Great to meet school and eco council at @BlackmoorParkJS this morning. Questions on knife crime and transport. pic.twitter.com/iwL4p6mbFG,no sentiment
33,06,Stephen Twigg,This morning I am  visiting @BlackmoorParkJS - looking forward to meeting the pupils and staff and hearing about how things are going at the school.,no sentiment
34,06,Stephen Twigg,Thank you for raising this. I suggest she contacts her MP to take this up.,leave
35,06,Stephen Twigg,You can watch my full speech from this week's debate in Parliament on the #SustainableDevelopmentGoals here -  https://www.facebook.com/StephenTwiggMP/videos/527305544471274/ …,no sentiment
36,06,Stephen Twigg,"The publication tomorrow of the UK’s #VoluntaryNationalReview provides the opportunity for a renewed focus on tackling poverty, inequality and climate change both at home and abroad. A more serious approach to the goals is crucial if we are to meet them by 2030. pic.twitter.com/aJZnbNFIFO",no sentiment
37,06,Stephen Twigg,"Thanks Frank. Please could you email me with full details and I will pursue? Email is stephen.twigg.mp@parliament.uk
All the best, Stephen.",stay
38,06,Stephen Twigg,I didn't abstain!,stay
39,06,Stephen Twigg,"Fantastic to meet so many inspirational @Youth_StopAIDS campaigners today. We are calling on the UK Government to #StepUpTheFight and ensure that the @GlobalFund to fight AIDS, TB and Malaria is fully funded! pic.twitter.com/Cd4nrF9At0",leave
40,06,Stephen Twigg,Great visit to Cambridge University with Year 10 students & staff from @DeLaSalleAcad @BGreenIntSchool @SJBLiverpool @HollyLodgeLiver @westderbyschool @cardinalheenan @broughtonhall as part of my Liverpool to Oxbridge Collaborative - big thanks to Sandy from @MagdaleneAccess,no sentiment
41,06,Stephen Twigg,Yes please!,stay
42,06,Stephen Twigg,"I'll do my best. Can you email me with more details ? stephen.twigg.mp@parliament.uk
Thank you.",stay
43,06,Stephen Twigg,I have worked closely with @emilyspurrell - she would make a brilliant Police & Crime Commissioner for Merseyside. https://twitter.com/emilyspurrell/status/1133803204699926531 …,leave
44,05,Stephen Twigg,Yes I do. Thank you for getting in touch.,stay
45,05,Stephen Twigg,Great to meet the Year 6 group from @MabLanePri - I hope they enjoyed the tour and the London Eye! https://twitter.com/MissFlynnMLP/status/1130426563202310144 …,irrelevant
46,05,Stephen Twigg,I am looking forward to meeting Year 6 pupils from the fantastic @MabLanePri in Parliament today https://twitter.com/MissGrovesMLP/status/1130374137728389120 …,irrelevant
47,05,Stephen Twigg,Looking forward to taking part in Sunday Politics NW at 11.15 this morning on BBC1.,no sentiment
48,05,Stephen Twigg,Great evening at the @unitytheatre celebrating the tenth anniversary of the wonderful @lgbtchoirlpool #IDAHOT2019,no sentiment
49,05,Stephen Twigg,"It was a pleasure to join today's @LiverpoolArabic celebration - to congratulate the students & staff on their hard work, the parents & families for their support and to thank @LivUniWP undergraduate mentors for helping the students with their work and inspiring them to aim high. https://twitter.com/LivUniWP/status/1129732903116656640 …",irrelevant
50,05,Stephen Twigg,This evening I was pleased to attend the opening of this extraordinary exhibition of art by Syrian refugee children in the Liverpool office of @DanCardenMP and to learn more about the work of Sir Bobby Charlton's charity @FindABetterWay https://twitter.com/SBCFoundation/status/1129058888660258816 …,no sentiment
51,05,Stephen Twigg,Lovely to see you too Ciara. It was indeed a great event.,stay
52,05,Stephen Twigg,Fantastic @ONEcampaignUK Health Heroes event this evening - great to meet advocates and campaigners making a real difference both here in the UK and internationally. https://twitter.com/ciarale01/status/1128716138840510466 …,leave
53,05,Stephen Twigg,Congratulations Eva.,stay
54,05,Stephen Twigg,Great to meet with @PrimaryFutures young people in Parliament and find out more about this important initiative to challenge stereotypes and raise young people's aspirations. pic.twitter.com/fuTrQqnjs3,irrelevant
55,05,Stephen Twigg,"Pleased to join with MPs from 5 other parties and write to @Jeremy_Hunt on Trump's decision to withdraw from the Arms Trade Treaty 

#ArmsTradeTreaty #ATT pic.twitter.com/TdYHDWi62N",leave
56,05,Stephen Twigg,Thanks Cathy. Yes!,stay
57,05,Stephen Twigg,Great. Can you arrange a date with Kevin in my office ? kevin.pilnick@parliament.uk,irrelevant
58,05,Stephen Twigg,Hi Mandy - yes I will sign. Thanks for drawing this to my attention.,stay
59,05,Stephen Twigg,"Today's @CommonsIDC
report on UK aid for combating climate change https://www.politicshome.com/news/uk/environment/global-warming/news/103692/ministers-must-put-existential-threat-climate-change …",leave
60,05,Stephen Twigg,Excellent @GlblCtznUK video to mark World Immunisation Week #onelastpush https://twitter.com/GlblCtznUK/status/1124219988305485825?s=19 …,leave
61,05,Stephen Twigg,It is incumbent on the Government to respond to the climate emergency both in their domestic policy and international policy so that combatting climate change is front and centre of everything we do. My speech from yesterday's hugely oversubscribed debate pic.twitter.com/P0t5JqrN6S,leave
62,05,Stephen Twigg,The UK has long played a leadership role within the EU in shaping its development response. It is vital that we maintain close cooperation with the EU so that the world's poorest do not suffer as a result of Brexit. My question to @PennyMordaunt pic.twitter.com/1hA07T2pmC,leave
63,04,Stephen Twigg,Today we mark Workers' Memorial Day and remember all those who have lost their lives at work and reaffirm the central role of trades unions in standing up for health and safety at work - both here in the UK and across the world #IWMD19,no sentiment
64,04,Stephen Twigg,In Birmingham today for One Last Push Polio Survivors' Summit https://www.thetimes.co.uk/article/as-anti-vaccine-misinformation-spreads-we-must-act-to-eradicate-polio-j7rj9mq0b …,leave
65,04,Stephen Twigg,"In today's debate on school funding I raised the widespread challenges that schools in Liverpool face as a result of cuts in Government funding. Schools in Liverpool need and deserve a serious, long-term funding settlement. Watch my full speech here -  https://www.facebook.com/StephenTwiggMP/videos/434664687300675/ … pic.twitter.com/SuXk0pv4AI",leave
66,04,Stephen Twigg,"The Government needs to ensure that as it expects more from our schools it backs this up with significant increases in funding and resources. We need a serious, long-term settlement for schools funding.",leave
67,04,Stephen Twigg,"I am particularly concerned that the children who most need extra support are bearing the brunt of changes to school funding. According to analysis by IPPR, in North West England, funding per eligible child through the ‘high needs’ block has been cut by 24% between 2014 and 2019.",leave
68,04,Stephen Twigg,Liverpool faces similar educational challenges to other big cities across the country. Liverpool City Council expect 16 schools currently in surplus to go into deficit and 24 schools further into deficit this year.,no sentiment
69,04,Stephen Twigg,But we are now moving backwards and risk falling behind again. Education spending as a share of national income has fallen since 2010 from 5.8% to 4.3%. The IFS has found that school budgets have fallen 8% in real terms since 2010.,leave
70,04,Stephen Twigg,"When Labour took office in 1997, UK public spending on education as a proportion of GDP was at its lowest point since the early 1960s at 4.5%. We lagged behind many of our European neighbours. By 2010, the UK had increased its spending to 5.7% overtaking many of our neighbours",stay
71,04,Stephen Twigg,"I am about to speak in this afternoon's @HouseofCommons debate on school funding. I will be calling for a serious, long-term settlement for schools funding. You can watch the debate here  https://parliamentlive.tv/Event/Index/39802559-b31e-4240-8285-668c24519e00 …",no sentiment
72,04,Stephen Twigg,I am hoping to speak in this afternoon's @HouseofCommons debate on school funding and highlight the widespread concern in Liverpool schools about the pressures on budgets which @TheIFS have found to have fallen nationally by 8% in real terms since 2010.,no sentiment
73,04,Stephen Twigg,"Yes! All the best, Stephen.",leave
74,04,Stephen Twigg,"My thoughts today are with the 96, their families and their friends #Hillsborough",leave
75,04,Stephen Twigg,An enjoyable day's campaigning in the sunny but cold weather with the @WestDerbyCLP Action Team for the fantastic @harrydoyle96 in Knotty Ash this morning and then for the superb @sharonconnor28 in Allerton & Hunts Cross this afternoon #LabourDoorStep pic.twitter.com/cjMZE6SYNi,no sentiment
76,04,Stephen Twigg,Pleased to have the opportunity this afternoon to join @sharonrlc1406 and the truly brilliant @aimliverpool at their annual picnic in Norris Green Park. pic.twitter.com/sZIaEveS7b,irrelevant
77,04,Stephen Twigg,"Thanks for the Tweet. Can you email me and I will look into it stephen.twigg.mp@parliament.uk
All the best, Stephen.",stay
78,04,Stephen Twigg,"Malaria kills a child every two minutes. I’m joining David Beckham in saying #MalariaMustDie & calling on world leaders to ensure a successful 6th @GlobalFund Replenishment, which channels almost 60% of vital international funding for malaria. https://www.youtube.com/watch?v=QiiSAvKJIHo&feature=youtu.be …",leave
79,04,Stephen Twigg,Yes I have signed. Thanks Craig.,stay
80,04,Stephen Twigg,"Today I again raised the case of 11-month-year-old Nathaniel Leahy. Access to full extract cannabis oil might offer Nathaniel a better quality of life but, like so many other children who are suffering from intractable epilepsy, he has so far been denied access to that treatment pic.twitter.com/H2WquozlrS",leave
81,04,Stephen Twigg,Thanks Rob.,leave
82,04,Stephen Twigg,I encourage everyone to get involved with #AutismAwarenessWeek so that we can all help create a society that works for people with Autism  https://www.autism.org.uk/get-involved/world-autism-awareness-week/what-is-waaw.aspx … @aimliverpool @Autism https://twitter.com/StephenTwigg/status/1108785806284460033 …,leave
83,04,Stephen Twigg,Thanks Dave,irrelevant
84,04,Stephen Twigg,I’ve been championing improved accessibility at Broadgreen station. Delighted we've got funding to become step-free. @LeonardCheshire #LetsGetOnBoard campaign revealed over 40% of train stations not step-free. This is much needed progress but more to do.,stay
85,04,Stephen Twigg,Looking forward to taking part in @UNISON_global seminar this afternoon about Quality Public Services - trades unions have a vital role to play in delivering the #globalgoals both internationally and here in the UK,no sentiment
86,04,Stephen Twigg,"Hi Ben. I am very keen to increase public awareness and engagement. The Goals are powerful and universal - they apply to the challenges of poverty, inequality and sustainability both here in the UK and worldwide #GlobalGoals",leave
87,04,Stephen Twigg,Yes! Thanks Chris.,leave
88,04,Stephen Twigg,Climate change is the biggest challenge facing the world today. The UK must challenge President Trump on his policy of inaction on climate change. My question to @Jeremy_Hunt today pic.twitter.com/bbfBUn033Z,stay
89,04,Stephen Twigg,No worries. Best to email me on stephen.twigg.mp@parliament.uk,stay
90,03,Stephen Twigg,Thanks Catherine - yes I support and welcome the Select Committee recommendations,irrelevant
91,03,Stephen Twigg,So sorry not to have been there.,stay
92,03,Stephen Twigg,I recently raised the case of my constituent Nathaniel Leahy in Parliament. Access to full extract cannabis oil might offer Nathaniel a better quality of life but he has so far been denied access to that treatment. Watch my full speech here  https://www.facebook.com/StephenTwiggMP/videos/2024179211207980/ … pic.twitter.com/gJAPkVZQ5P,leave
93,03,Stephen Twigg,"The upcoming replenishment of the Global Fund to Fight AIDS, Tuberculosis and Malaria, provides a critical opportunity to step up our efforts to end TB by 2030. pic.twitter.com/CPw4KpB50p",leave
94,03,Stephen Twigg,Personal Independent Payments can be a lifeline for disabled people but time and time again the application and assessment process of PIP fails disabled people. Watch my full speech from today's debate here @standrewslive @MerseysideLawC  https://www.facebook.com/StephenTwiggMP/videos/2364330997120723 …. pic.twitter.com/AKkkYbMm4a,irrelevant
95,03,Stephen Twigg,The Yemeni diaspora living in the UK have an important role to play in the process of bringing lasting peace to Yemen. My question to @MarkFieldUK in today's UQ on Yemen. @LabourYemen pic.twitter.com/HjzAILrC9m,leave
96,03,Stephen Twigg,Congratulations Eva!,irrelevant
97,03,Stephen Twigg,Absolutely right Keith.,leave
98,03,Stephen Twigg,Thanks Kelly,stay
99,03,Stephen Twigg,Hi Kelly. Have you been in touch with your MP? If it is me I will do my best to help. If you are in another part of the city I am sure your MP will help. My email is stephen.twigg.mp@parliament.uk,stay
100,03,Stephen Twigg,That will be great. Can you email stephen.twigg.mp@parliament.uk ?,no sentiment
101,03,Stephen Twigg,There is an urgent need to improve the quality of services provided to children and young people with Autism and their families. Watch my full speech from today's debate here -  https://www.facebook.com/StephenTwiggMP/videos/423294355096234/ … @aimliverpool @HeadteacherALS @redbchristmas16 @Autism pic.twitter.com/8e6E5aHM5f,leave
102,03,Stephen Twigg,Access to full extract cannabis oil could offer the better quality of life that Nathaniel desperately deserves. Yet like so many other children who are suffering from intractable epilepsy he has been denied access to this treatment. I'm working with Nathaniel's family on this.,leave
103,03,Stephen Twigg,"I also raised the case of my constituent Nathaniel Leahy. Due to the extremely rare type of epilepsy Nathaniel has, anti-epileptic drugs do not work and he was granted the use of Epidolex – a medical cannabis product. He has reacted positively to this but still lives in pain",leave
104,03,Stephen Twigg,The current NICE appraisal process is not fit for purpose and is restricting many rare disease patients from having the opportunity to access potentially life changing treatment.,leave
105,03,Stephen Twigg,"Patient access to orphan medicines in the UK, lags behind many European countries. The UK is slower at making access decisions and approves far fewer medicines for reimbursement. The multiple pathways through which medicines can be appraised create further complications & delays",leave
106,03,Stephen Twigg,"During my time as Chair of the Rare Diseases APPG an issue that was consistently raised by patients, clinicians and pharmaceutical companies was the challenges they face attempting to navigate NHS England’s and NICE’s appraisal processes for rare disease treatment.",leave
107,03,Stephen Twigg,"I'm due to speak next in this afternoon's debate in Parliament on Rare Diseases, you can watch the debate here -  https://www.parliamentlive.tv/Event/Index/40906918-26d9-4b36-a429-02a25155ebc2 … @GeneticAll_UK",no sentiment
108,03,Stephen Twigg,However specialist schools are being held back from being able to provide the best possible outcomes for its pupils. I have urged Govt to listen and engage with children & young people with autism and their families & schools so that we can improve services for people with autism,leave
109,03,Stephen Twigg,".@AbbotsLeaSchool is another fantastic special school in Liverpool. Its philosophy of education is the ASD model and the school focuses equally on academic progress, specialist therapeutic support and development of life skills.",leave
110,03,Stephen Twigg,"Despite this challenging environment, we have some truly outstanding special schools in West Derby including @redbchristmas16, Bank View and Ernest Cookson School.",leave
111,03,Stephen Twigg,"Across the country, devastating cuts in local government funding has contributed to a crisis in funding for children with special education needs and councils are struggling to meet their statutory duties for children with Autism.",leave
112,03,Stephen Twigg,"Even families who do get a EHC plan are often not given the support they need. A report published by the APPG on Autism found that only 1 in 10 parents were very satisfied with the process of agreeing an EHC plan for their child, with 60% saying they were dissatisfied.",leave
113,03,Stephen Twigg,"For too many families, securing the right support for their child at school is a very difficult task, and can become an all-consuming battle. But as budgets have been cut, local councils are struggling to respond to demand leading to EHC plans being refused or delayed.",leave
114,03,Stephen Twigg,"Delays in diagnosing autism means that many autistic people do not receive the support that they need, which can cause significant harm to their life chances.",no sentiment
115,03,Stephen Twigg,"I am about to speak in a debate on Autism in Parliament, you can watch the debate here @aimliverpool @AbbotsLeaSchool - https://www.parliamentlive.tv/Event/Index/40906918-26d9-4b36-a429-02a25155ebc2 …",no sentiment
116,03,Stephen Twigg,It was fantastic to meet @savechildrenuk campaigners and school children yesterday who are using the #PowerofYourPen to share their hopes for peace in Yemen #yemencantwait pic.twitter.com/8llCXfwkH1,no sentiment
117,03,Stephen Twigg,Fair point!,no sentiment
118,03,Stephen Twigg,"Good point. Our focus today was to defend the importance of the UK working multilaterally but you are totally right about local action - indeed the @CommonsIDC report in 2016 on Ebola emphasised ""the importance of community engagement in achieving an effective response""",leave
119,03,Stephen Twigg,The UK must continue to be a force for good in the world and lead the way in championing international multilateralism as a tool to tackle the most pressing global issues of our time. My piece with @GillianKeegan in today's @timesredbox - https://www.thetimes.co.uk/edition/news/the-uk-must-continue-to-lead-the-global-world-order-qshz27q6f …,leave
120,03,Stephen Twigg,Thank you. Road safety around schools is a high priority for me. I will continue to work with your local councillors on this @AlisonC26014390 @harrydoyle96 @CoopCrofts,leave
121,03,Stephen Twigg,Inspiring day today - visiting the fantastic @MonksdownSchool & the amazing @MonksdownHead in Norris Green this morning where I had a truly superb Q&A with members of the School Council & then meeting hugely impressive participants in @ThinkAheadMH at @Mersey_Care this afternoon. pic.twitter.com/1Xcq3xxnde,irrelevant
122,03,Stephen Twigg,"It was pleasure to meet some of the youth ambassadors from Zambia, the Philippines and Kenya who are part of @LeonardCheshire’s #2030andCounting programme. It is essential youth with disabilities have a seat at the table when it comes to the SDGs. pic.twitter.com/o1hNYa5PLk",irrelevant
123,03,Stephen Twigg,Great to join @LennyHenry and Richard Curtis in Parliament to mark #RedNoseDay & celebrate the fantastic achievements of @comicrelief in supporting projects both in the UK & internationally @BritainLeads @theodoraclarke @JeremyLefroy @BatesLord @CommonsIDC @LabourCID @LabourDfID pic.twitter.com/485dFiEj5u,no sentiment
124,03,Stephen Twigg,A big thank you to everyone who donated so generously to #StemCellScousers this weekend at Knotty Ash Sainsbury's and to @Dunne2Kev for organising. I am delighted that we raised £933.11 for @AnthonyNolan pic.twitter.com/Y8wFfbimIC,no sentiment
125,03,Stephen Twigg,Hi Peter. Unfortunately I was on a Committee visit to Scotland on Monday. However I will continue to make the case for decent funding for schools. I was in St Cecilia's Infants School this morning and had a very full discussion about the funding pressures on Liverpool schools.,no sentiment
126,03,Stephen Twigg,"Many thanks to all the students, family members and teachers who attended tonight's launch of the 5th cohort of my Liverpool to Oxbridge Collaborative @cardinalheenan @SJBLiverpool @HollyLodgeLiver @DeLaSalleAcad @StEdwardsColl @westderbyschool @broughtonhall @BGreenIntSchool pic.twitter.com/fam3HvF4sH",no sentiment
127,03,Stephen Twigg,Congratulations to @lpoolcouncil for becoming a @UNICEF child-friendly city @bazkush @abdulBqadir @sreddy100 pic.twitter.com/WC9rVA9lVF,irrelevant
128,03,Stephen Twigg,Sorry to have missed it but I was on a Committee visit to Scotland. I am committed to schools funding and have raised this important issue previously and will do so again in future.,leave
129,03,Stephen Twigg,"Today @CommonsIDC publish our inquiry report on Forced Displacement in Africa - ""Anchors Not Walls"" https://www.parliament.uk/business/committees/committees-a-z/commons-select/international-development-committee/news-parliament-2017/forced-displacement-in-africa-report-publication-17-19/ …",irrelevant
130,03,Stephen Twigg,"Hi Robert. Unfortunately, I was on a train back to Liverpool as I had a meeting here on Thursday evening. Totally agree about urgency of Climate Change. The Select Committee I chair is currently holding a major inquiry into Climate Change which will report soon.",no sentiment
131,02,Stephen Twigg,Delighted that @nadhimzahawi has listened to the concerns of @eprnschool and @EllergreenNS and will provide funding to help see them through to the end of the next academic year. Well done @LucyMPowell @APPG_Nursery and all who have campaigned so hard for this. pic.twitter.com/oZLXr4muV4,leave
132,02,Stephen Twigg,Education is crucial if we are to tackle the twin evils of global poverty and global inequality. My speech from today's debate on Global education for the most marginalised. Watch my full speech here -  https://www.facebook.com/StephenTwiggMP/videos/297848850913204/ … pic.twitter.com/rcIYzv8tNc,leave
133,02,Stephen Twigg,Congratulations to @MolloyFrances  and @meaglemp on the superb @tyreduk campaign leading to today's welcome Government announcement.,irrelevant
134,02,Stephen Twigg,Thanks Frank. What's your email address?,no sentiment
135,02,Stephen Twigg,How many per team?,no sentiment
136,02,Stephen Twigg,Yes!,irrelevant
137,02,Stephen Twigg,Pleased to support @CatherineWest1's Bill to #LiftTheBan on asylum seekers working pic.twitter.com/1SkOHf3hCS,irrelevant
138,02,Stephen Twigg,Today I led a debate on the Funding of Merseyside Police. The Government needs to listen and engage with Merseyside Police to address this serious funding crisis. Watch my full speech here -  https://www.facebook.com/StephenTwiggMP/videos/399363950638215/ … pic.twitter.com/KWnNi8xBOq,leave
139,02,Stephen Twigg,I'm about to open my debate on the Funding of Merseyside Police. You can watch the debate here  https://www.parliamentlive.tv/Event/Index/77a6ef55-eb6c-425f-840b-ce3384079039 …,no sentiment
140,02,Stephen Twigg,Yes I am one of the 16 MPs. All the best.,leave
141,02,Stephen Twigg,Please sign this important petition to keep open the Park View Medical Centre in Tuebrook https://www.change.org/p/keep-parkview-medical-centre-running?recruiter=71010253&utm_source=share_petition&utm_medium=twitter&utm_campaign=share_petition&recruited_by_id=49ef3254-bc81-47ed-9a42-299d33f83769 …,no sentiment
142,02,Stephen Twigg,Great news that the UK is to host Gavi pledging conference next year. It is vital that the UK continues to play a leading role in ensuring millions more children are vaccinated https://www.gov.uk/government/news/uk-to-host-gavi-pledging-conference-in-2020 …,leave
143,02,Stephen Twigg,A productive meeting with @nadhimzahawi and @eprnschool @EllergreenNS discussing the outstanding work of both nursery schools and the need for a sustainable funding settlement for our nursery schools pic.twitter.com/Fw3gUfanHX,no sentiment
144,02,Stephen Twigg,Truly inspiring meeting this evening in Parliament launching Labour Friends of Yemen @RazakMossa @AminaAtiqpoetry @TQassim @abdulBqadir #Yemen pic.twitter.com/y8DhUGkIZH,no sentiment
145,02,Stephen Twigg,Thanks Cathy. Yes. Can you email me key points from the meeting so I can pursue? Kind regards. stephen.twigg.mp@parliament.uk,no sentiment
146,02,Stephen Twigg,There is a basic injustice in the local government finance settlement which hits hardest the areas of the country with the greatest levels of poverty and inequality. Watch my full speech from yesterday's debate here -  https://www.facebook.com/StephenTwiggMP/videos/243045563301506/ … pic.twitter.com/JrIALZSO6t,leave
147,02,Stephen Twigg,My article today with Andrew Mitchell reaffirming the importance of @DFID_UK remaining an independent department https://www.thetimes.co.uk/article/losing-the-department-for-international-aid-would-harm-britain-s-global-standing-mkmbj5klc …,irrelevant
148,02,Stephen Twigg,Well done Eva!,leave
149,02,Stephen Twigg,"The outstanding @eprnschool, @EllergreenNS & @EvertonNursery play a crucial role in promoting social mobility but they need certainty over their long term funding. Watch my full speech from today's debate here -  https://www.facebook.com/StephenTwiggMP/videos/299720957599881/ … @DanCardenMP @CllrBMurray pic.twitter.com/L5nyoucSb3",irrelevant
