,Unnamed: 0,Date,Name,Tweets,Tags,Hashtags,classofspeech
779,779,1570201445,Arthur,"Thank you to all MPs who asked a question re the #LoanCharge in @HouseofCommons this week

Thank you too to all those who showed their discontent at the answers given by @Jesse_Norman 

This remains the very BIG question - why do they need the #LoanCharge if schemes never worked?pic.twitter.com/PEvnL4UYce",,"['LoanCharge', 'LoanCharge']",offensive_language
781,781,1570220532,LC Victim,"Exactly, what the hell is wrong with them!...sums up the world we live in, human life has no value, only how much money can they get out of something is what matters now.",,[],offensive_language
783,783,1570201801,NotRichYoungFamily #LCAG,"Thank you to all the MP's who spoke up and the many others who were not called upon by speaker. What will it take before @Jesse_Norman acts?
#LoanCharge #SaveLivespic.twitter.com/OE5E9wWwaC",,"['LoanCharge', 'SaveLivespic.twitter.com/OE5E9wWwaC']",offensive_language
789,789,1570283110,Sophy Ridge, If you couldnÂt make our @podcastlivehq event with @JustineGreening the Twitter thread is here... #podcastlivehttps://twitter.com/RidgeOnSunday/status/1180453538935267328Â Â,,['podcastlivehttps://twitter.com/RidgeOnSunday/status/1180453538935267328'],offensive_language
824,824,1570350556,William Hamilton,"That was @JustineGreening wasn't it? She unleashed this nightmare, correct me if I'm wrong.",,[],offensive_language
847,847,1570560835,HMRCsick,These cross-party MP numbers calling for immediate #LoanCharge suspension pending review are not HMRC Means or Medians - no massaged or edited statistics but real individuals standing up for the #RuleOfLaw. It seems that it does matter after all - even for demonised freelancers.pic.twitter.com/KY004g9c2g,,"['LoanCharge', 'RuleOfLaw.']",offensive_language
852,852,1570546526,Anonymous,"@JustineGreening  I know she said she's going to stand down at the next election, but I think that would be a real shame. Had high hopes for her as EduSec.",,[],offensive_language
866,866,1570747468,Andrew Castle,"@justinegreening is a driving force for social mobility. Her work in the area acknowledged tonight. 

What a loss to parliamentary life she will be. pic.twitter.com/e5XohvUsur",,[],offensive_language
885,885,1570750334,Fran Hughes,She needs to stick around for sure. A great MP liberated from a shitty party I could never vote for,,[],offensive_language
887,887,1570746254,London Sloane,I await her telling us,,[],offensive_language
897,897,1570832849,Justine Greening,Great to meet you all! https://twitter.com/WoodsideHigh/status/1182743893265309697Â Â,,[],offensive_language
1017,1017,1571344244,Rj,"@JustineGreening was a fantastic SoS.. she made me mad as hell sometimes on Brexit but now we have a TOLERABLE deal, I urge her to return to our Party ASAP.. we need her!",,[],offensive_language
1044,1044,1571418229,Linda L,I am hoping that my U.K. MP @JustineGreening remembers her constituents tomorrow in the vote. It could be the last time she shows her commitment to the well-being of the U.K. too - as she will not be running for parliament again.,,[],offensive_language
1074,1074,1571486545,Stephanie Wilkins,"Bloody hell,  never thought I'd agree with @JustineGreening who rightly pointed out the comparable lack of scrutiny. #VoteTheDealDown",,['VoteTheDealDown'],offensive_language
1086,1086,1571497152,Bradley-Kingman,"Another traitor who is not standing for re-election but wants to stick her oar in.
@JustineGreening
#TraitorsAmendment
#SuperSaturday
#wasteoftime
pic.twitter.com/sXOTtcKApW",,"['TraitorsAmendment', 'SuperSaturday', 'wasteoftime']",offensive_language
1100,1100,1571478621,Jo-Anne Nadler,@JustineGreening tells the PM he is not allaying concerns in Âher communityÂ. As her constituent IÂm part of that community and deeply concerned that she voted against the government over 40 times. Regretfully I understand she will again today.,,[],offensive_language
1104,1104,1571469844,Julie E Mullins,Hello @JustineGreening Please see below. Im sure you will not let us be pushed into this terrible deal just to satisfy a bunch of male egos. Thankyou. #PeoplesVoteMarch #FinalSayhttps://twitter.com/thatginamiller/status/1185237351309697026Â Â,,"['PeoplesVoteMarch', 'FinalSayhttps://twitter.com/thatginamiller/status/1185237351309697026']",offensive_language
1112,1112,1571601155,Anonymous,She'll be devastated.,,[],offensive_language
1122,1122,1571601051,Usain Boris,Yet you respond to her Twitter?,,[],offensive_language
1130,1130,1571643960,Jessica Simor QC,Where is the Brexit Implementation Bill? Why the hell has it not been published yet? It should have been published by TMÂs Government. A Bill like this takes more than 10 days to go through both houses.  @JustineGreening absolutely right @BBCr4today,,[],offensive_language
1141,1141,1571639186,Till,.@JustineGreening saying it like it is @SkyNews & reminding that a @peoplesvote_uk amendment is sensible  @KayBurley giving her a @PaulHollywood like @BritishBakeOff  for talking straight.pic.twitter.com/zWvpdSFt8w,,[],offensive_language
1144,1144,1571693684,Rowan,I love you I love you I love you @JustineGreening she is just the best egg. https://twitter.com/Haggis_UK/status/1186166469161291776Â Â,,[],offensive_language
1233,1233,1571840558,John Clement,YOU Will find as usual she is totally pursuing her own interests & F**K everyone else.,,[],offensive_language
1238,1238,1571824578,Shoshana,"@RoryStewartUK @JustineGreening @Gutobebbmp and all you other heroes below: 
Thank You Very Muchhttps://twitter.com/YoungTories4PV/status/1186718268553347073Â Â",,[],offensive_language
1242,1242,1571810765,Manda Weebles,Thank you to my MP @JustineGreening  https://twitter.com/BestForBritain/status/1186724284200374273Â Â,,[],offensive_language
1271,1271,1572003026,Robert Busch,"Can UKgov be trusted with H VIII powers to amend laws, regs to implement provisions for EU citizen's rights and Northern Ireland? @BorderIrish @the3million @JustineGreening
(my MP)

My answer: no. HO regs have already been rewritten twice to salami-slice my rights post Brexit. https://twitter.com/thatginamiller/status/1187676751914295296Â Â",,[],offensive_language
1288,1288,1572205440,Justine Greening,I loved working with you all too. ,,[],offensive_language
1289,1289,1572201400,Anonymous,"Tell me about it.
My 5am view....yes I know she's not black.pic.twitter.com/wxbyU2Lavf",,[],offensive_language
1306,1306,1572191439,Anonymous,"Thank you! I just ran around looking at all my clocks and comparing to my phone time.
",,[],offensive_language
1332,1332,1572293271,Sarah Dobson,You could say the same about her acolytes as well.  Better off out!,,[],offensive_language
1366,1366,1572363643,Anonymous,He just got absolutely skewered by @JustineGreening (who Parliament will miss). https://twitter.com/PARLYapp/status/1189205227074965508Â Â,,[],offensive_language
1375,1375,1572342235,DeputyMitchell,Can you help with this @irockey @gillhead25 @HGJohn @dughall @Joga5 @educationgovuk @JustineGreening @DamianHinds @chrismayoh @Ideas_Factory @wmchamberlainhttps://twitter.com/DeputyMitchell/status/1189114621879377920Â Â,,[],offensive_language
1389,1389,1572465616,Leon Ward,"I loved @JustineGreening when I hosted a round table with her for @Commonwealth18. A few months later, she then gave me a 30 minute coaching session over the phone. 

She didn't have to do that. She is brilliant and I really look forward to seeing what she does next.",,[],offensive_language
1398,1398,1572475903,Sir Kernow Questor,"Such is the extent of the disaster they have created they deserve all the blame for it. They failed to be honest, but indulged in more lies & sophistry to look after themselves and 'fuck business' etc.
I'll never forgive any of them.",,[],offensive_language
1406,1406,1572466354,Lee,"Greening and Rudd are both losses. Morgan not so much. Her signing up the Alternative Arrangements nonsense was utterly unhelpful, she should have known better.",,[],offensive_language
1417,1417,1572522057,chris jumbilee wall,Ho ho ho ho hopic.twitter.com/xLLJhqP4sV,,[],offensive_language
1419,1419,1572535602,RD,"Amazing that, during all your ÂimpartiallyÂ you donÂt believe 130000 vulnerable DEAD because of Rudd and friends, are a Âbig lossÂpic.twitter.com/7WSfnl9OtT",,[],offensive_language
1439,1439,1572515059,Michael Siva,"Amber Rudd? The same Amber Rudd who was a major architect of the #Windrush scandal? It amazes me how much white, privileged journalists conveniently forget how badly Rudd and May treated poor, black Britons not so long ago. How quickly you have forgotten....

Good riddance!",,['Windrush'],offensive_language
1464,1464,1572576587,Adrian Heywood,You donÂt say.,,[],offensive_language
1473,1473,1572818968,Anonymous,My politics is based on empathy so it really aint,,[],offensive_language
1498,1498,1572803447,ana_captures,@PhilipHammondUK IÂve read article. Please let me know if I can help. @movement46 if you conceive these women to run with you @AmberRuddHR @margot_james_mp @RuthDavidsonMSP @JustineGreening @NickyMorgan01 it would be wonderful. @DominicGrieve1 @Anna_Soubry @ForChange_Now,,[],offensive_language
1503,1503,1572794124,Justin Censored,DidnÂt Nicky Morgan vote against gay marriage by saying that enough of her constituents didnÂt ask her to vote in favour of it?,,[],offensive_language
1513,1513,1572905135,TootingCommunityKitchen,Its great to have met you all & very happy to be able to team up in Tooting with you all. Its all about sharing n caring.  ,,[],offensive_language
1516,1516,1572887807,Terrence Higgins Trust,"Thank you to @JustineGreening for being a true champion of our work in Parliament.

As Education Secretary, Justine introduced historic legislation that now means every young person in England will have Relationships & Sex Education lessons.

Good luck in your next challenge. pic.twitter.com/YgkD4T8knZ",,[],offensive_language
1526,1526,1572857950,MisTÃÃ»ght,"I'm guessing as a white woman you have no experience of the #HostileEnvironment Black & Brown people have experienced at the hands of these Conservative women
#WhiteFeminisismDoesntRepresentMepic.twitter.com/0y9P5R9K1v",,"['HostileEnvironment', 'WhiteFeminisismDoesntRepresentMepic.twitter.com/0y9P5R9K1v']",offensive_language
1538,1538,1572865922,Dmoff,Are you sure love?,,[],offensive_language
1541,1541,1572863402,Anonymous,DonÂt worry Ruth plenty of women are joining up to join you!pic.twitter.com/SQABjfBcAo,,[],offensive_language
1549,1549,1572954112,BBC Radio 5 Live,"""Do you trust Boris Johnson?""

""I find it hard to trust him on other issues when the one that's mattered to me the most as a local campaigner is one he's not followed through on""

Ex-Tory minister @JustineGreening tells @EmmaBarnett her concerns about the PM and Heathrowpic.twitter.com/Cps3ab6F94",,[],offensive_language
1550,1550,1572950273,BBC Radio 5 Live,"""It would be very hard for me to vote for the Conservatives""

Ex-Conservative cabinet minister @JustineGreening suggests to @EmmaBarnett she wonÂt vote for her own party in #GE2019 because of Brexit

 Read more https://bbc.in/2rgrSr5Â pic.twitter.com/jINfrHYTdV",,['GE2019'],offensive_language
1554,1554,1572991200,Sky News,"Retiring MP @JustineGreening puts her belongings in cardboard boxes as she steps down from parliament ahead of the election.

@SamCoatesSky joined her in her office to take a look at the awards she's won in her time as MP. 

More on MPs stepping down here: http://po.st/J1QjpCÂ pic.twitter.com/EmlS4xtNGK",,[],offensive_language
1559,1559,1572978518,Liz Barker,Thank you. That is all.,,[],offensive_language
1565,1565,1572979686,Phil Merry,"It was one of the greatest privileges I have been given to get to work with @JustineGreening so closely, an even greater one to call her a friend. She can leave Parliament with her head held high I canÂt wait to see whatÂs next. https://twitter.com/justinegreening/status/1191773544654524417Â Â",,[],offensive_language
1582,1582,1572959974,I Am Incorrorgible FCA,"""It would be very hard for me to vote for the Conservatives""

Ex-Conservative cabinet minister @JustineGreening tells @EmmaBarnett she wonÂt vote for her own party in #GE2019 because of Brexit

@lbc #bbcwato #Newsnight
#GE2019 #c4news #r4todaypic.twitter.com/vBOeNR1Jjn",,"['GE2019', 'bbcwato', 'Newsnight', 'GE2019', 'c4news', 'r4todaypic.twitter.com/vBOeNR1Jjn']",offensive_language
1600,1600,1573041007,guerrilla centrist Tony Lockyear #FBPE,"Not sure the tories can afford to lose people of the quality of @JustineGreening .
Actually not sure they survive without the centre right caucus.
Not sure they deserve to. https://twitter.com/puddleglum55/status/1191981988732899330Â Âpic.twitter.com/95lgSEPP9l",,[],offensive_language
1603,1603,1573029109,Marcus Agrippa #StandUp4Brexit,@JustineGreening was quite happy to stand alongside Anna Soubry & Ian Blackford while David Lammy called her Tory colleagues Nazis and supporters of apartheid. She was no Tory and the party will be stronger without her. pic.twitter.com/QdjBwTbRgM,,[],offensive_language
1605,1605,1573027661,Lulu Bowen,"Ms Greening was not moderate.  She strayed was too far left from both her own constituency & from Conservative Mandate.

She failed, regardless of how many awards she won.  She failed spectacularly at THE MOST IMPORTANT time when voters who gave her a job needed her.",,[],offensive_language
1606,1606,1573027497,Chantel Scherer,Losing good MPs like my MP @JustineGreening in this #GeneralElection2019https://twitter.com/SkyNews/status/1191988590252707842Â Â,,['GeneralElection2019https://twitter.com/SkyNews/status/1191988590252707842'],offensive_language
1615,1615,1573027730,samplum,So .... all her belonings she got on expenses... oh yer..... drain the swamp bye bye,,[],offensive_language
1619,1619,1573027200,Sky News,"Retiring MP @JustineGreening puts her belongings in cardboard boxes as she steps down from parliament ahead of the election.

@SamCoatesSky joined her in her office to take a look at the awards she's won in her time as MP. 

More on MPs stepping down here: http://po.st/J1QjpCÂ pic.twitter.com/lAaCPlIJoN",,[],offensive_language
1625,1625,1573004720,Sh3lby,Not sure how you come to the conclusion that voting libdem will stop Brexit  My Mum has more chance of becoming PM than Swinson .,,[],offensive_language
1641,1641,1573127493,spanishjohn19,Bloody hell mam he's a Tory....christ how low can you go.,,[],offensive_language
1656,1656,1573121751,simon,You would ! Nothing wrong with his comments if you are an open minded person BUT if you are one of those who search for offence IÂm sure you will find something you arenÂt happy with !,,[],offensive_language
1702,1702,1573200514,Stephen Payne,No sympathy. She made her bed. Time to lie on it,,[],offensive_language
1715,1715,1573304022,Chris,"shame about @JustineGreening  - when she first came on the scene thought she had something about her and she would go far - until she went 'wet' - as for the others, glad to see sedition has some price at least",,[],offensive_language
1738,1738,1573471321,Political Advisor,"I'm happy that @JustineGreening, a previous Minister for Women, is stepping down as MP as she did nothing to fix inequality in our society. 

Good riddance.
#sexismpic.twitter.com/wv3taIFwm0",,['sexismpic.twitter.com/wv3taIFwm0'],offensive_language
1771,1771,1573709421,Hilary Goldsmith,"I don't normally do these & I'm avoiding my usual buddies.
So here's 10 women who inspire me & challenge my thinking daily:
@AnnMroz
@ViviennePorritt
@valerieandrew
@Morsecat
@ShyKeenan
@JustineGreening
@miconm
@accidentalSBM
@DrSaraPayneMBE
@annazannides
#Thank10Womenhttps://twitter.com/SbmCoventry/status/1194741560367300608Â Â",,['Thank10Womenhttps://twitter.com/SbmCoventry/status/1194741560367300608'],offensive_language
