,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users,classofspeech,month
235,235,3175,3175,Prozium_Dealer,John Preston,81174015,1147642180208680960,/Prozium_Dealer/status/1147642180208680960,2019-07-06 23:03:12,1562454192,"It is not comic, it is a fucking tragedy.
The fact a mediocre MP sabotages their party at every opportunity & disregards party policy on numerous occasions should set alarm bells ringing.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">It is not comic, it is a fucking tragedy.
The fact a mediocre MP sabotages their party at every opportunity &amp; disregards party policy on numerous occasions should set alarm bells ringing.</p>",[],[],False,[],,2,0,0,False,True,1.147445294440833e+18,"[{'screen_name': 'tom_watson', 'user_id': '14190551'}]",offensive_language,7
241,241,672,672,shipper_xphi,sh!pper Ã°ÂÂÂÃ°ÂÂÂÃ°ÂÂ¥Â§,796388166,1170823681754521602,/shipper_xphi/status/1170823681754521602,2019-09-08 22:18:13,1567981093,"Her sister is *also* dead.

And  she had no children. 

IÃ¢ÂÂm sure you can find a random lawyer and a publisher to make a comment... but why?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Her sister is *also* dead.

And  she had no children. 

IÃ¢ÂÂm sure you can find a random lawyer and a publisher to make a comment... but why?</p>",[],[],False,[],,0,0,0,False,True,1.1705232030952038e+18,"[{'screen_name': 'GeromeGutierre4', 'user_id': '1098013628064768002'}, {'screen_name': 'BookishFeminist', 'user_id': '733357496568532992'}]",offensive_language,9
245,245,2304,2304,WarmongerHodges,Frank Owen's Legendary Paintbrush,4203239195,1141098065710817280,/WarmongerHodges/status/1141098065710817280,2019-06-18 21:39:14,1560893954,"In a sane world, Jeremy Corbyn would have been PM for the last 30 years and all the shit policies Tom Watson and Rory Stewart voted for wouldn't haven't happened. And neither would #Brexit.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">In a sane world, Jeremy Corbyn would have been PM for the last 30 years and all the shit policies <strong>Tom</strong> <strong>Watson</strong> and Rory Stewart voted for wouldn't haven't happened. And neither would <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Brexit?src=hash""><s>#</s><b>Brexit</b></a>.</p>",[],['Brexit'],False,[],,158,27,1,True,True,1.140872771221754e+18,"[{'screen_name': 'JamesMelville', 'user_id': '20675681'}]",offensive_language,6
255,255,7964,7964,surrealyo,"SaraÃ¢ÂÂs mouse says Not Me, US",28772053,1195451347803361280,/surrealyo/status/1195451347803361280,2019-11-15 21:19:46,1573852786,"WeÃ¢ÂÂre the only ones responding driving up his numbers, please ignore Twat Watson","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">WeÃ¢ÂÂre the only ones responding driving up his numbers, please ignore Twat <strong>Watson</strong></p>",[],[],False,[],,0,0,0,False,True,1.1953857226158612e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,11
258,258,4216,4216,johnBoy93095385,john Boyer,1111269831179943936,1174065185881042944,/johnBoy93095385/status/1174065185881042944,2019-09-17 20:58:48,1568753928,Yeah.  WonÃ¢ÂÂt it be so much better when people get creative with their evil hatred like Timothy McVeigh did two years into the last ban when he used a moving truck and 20+ tons of cow shit to kill almost 200 people? It isnÃ¢ÂÂt the guns that are the problem it is the people.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Yeah.  WonÃ¢ÂÂt it be so much better when people get creative with their evil hatred like Timothy McVeigh did two years into the last ban when he used a moving truck and 20+ tons of cow shit to kill almost 200 people? It isnÃ¢ÂÂt the guns that are the problem it is the people.</p>",[],[],False,[],,2,0,0,False,True,1.1736538119379108e+18,"[{'screen_name': 'JimMcIntosh12', 'user_id': '2257329553'}, {'screen_name': 'BarbraStreisand', 'user_id': '36169080'}, {'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,9
273,273,7433,7433,WManbat,Wayne Bruce Manbat Ã°ÂÂÂ¬Ã°ÂÂÂ§Ã°ÂÂÂ´Ã³Â ÂÂ§Ã³Â ÂÂ¢Ã³Â ÂÂ·Ã³Â ÂÂ¬Ã³Â ÂÂ³Ã³Â ÂÂ¿,1131279712196726787,1167526851046248456,/WManbat/status/1167526851046248456,2019-08-30 19:57:47,1567195067,pic.twitter.com/h4HDf57hDT,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/h4HDf57hDT"">pic.twitter.com/h4HDf57hDT</a></p>",[],[],True,['https://pbs.twimg.com/media/EDPjeuVWwAAr5c9.jpg'],,0,0,0,False,True,1.1674353417222062e+18,"[{'screen_name': 'dgallagher000', 'user_id': '4755149428'}, {'screen_name': 'tom_watson', 'user_id': '14190551'}, {'screen_name': 'guse_guse', 'user_id': '790287205'}]",offensive_language,8
315,315,8536,8536,EquoAmicus,Deb,15359260,1186993950680334336,/EquoAmicus/status/1186993950680334336,2019-10-23 13:13:05,1571836385,"Who, this guy? Pfftpic.twitter.com/RWtr1XB9FH","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Who, this guy? Pfft<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/RWtr1XB9FH"">pic.twitter.com/RWtr1XB9FH</a></p>",[],[],True,['https://pbs.twimg.com/media/EHkMrKLX4AE_H6i.jpg'],,1,0,0,False,True,1.1869792620934963e+18,"[{'screen_name': 'JulieCollura', 'user_id': '21048391'}, {'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,10
338,338,6001,6001,PrplMnkyCupcake,Amy,825397994778398720,1137750417792782336,/PrplMnkyCupcake/status/1137750417792782336,2019-06-09 15:56:52,1560095812,"If he cared about her name or having her permission, it wouldn't have been a picture of her back.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">If he cared about her name or having her permission, it wouldn't have been a picture of her back.</p>",[],[],False,[],,1,0,0,False,True,1.1377158340450468e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,6
350,350,6253,6253,Shazzyrm,SharonÃ°ÂÂÂ´Ã³Â ÂÂ§Ã³Â ÂÂ¢Ã³Â ÂÂ·Ã³Â ÂÂ¬Ã³Â ÂÂ³Ã³Â ÂÂ¿Ã°ÂÂÂ¹#ScrapTheTories,30268206,1144380114886676485,/Shazzyrm/status/1144380114886676485,2019-06-27 23:00:55,1561676455,"Let me help you out.  Nothing antisemitic about what he said, just observations that we've all observed.  You only see what you want to see.  We see you, though.","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Let me help you out.  Nothing antisemitic about what he said, just observations that we've all observed.  You only see what you want to see.  We see you, though.</p>",[],[],False,[],,1,0,0,False,True,1.1442343929209732e+18,"[{'screen_name': 'LiveLinkWendy', 'user_id': '61481833'}, {'screen_name': 'RufusTFirefly61', 'user_id': '4289898562'}]",offensive_language,6
363,363,6023,6023,Francis58685118,Francis Allan,1102993851340460035,1137743600119402498,/Francis58685118/status/1137743600119402498,2019-06-09 15:29:47,1560094187,"Fkn hell man ,, party time last night and I went full Monty on Quantum Physics , Mechanics , v=d,t on some Managerial post of a Starmap , eventually stating that 1 hour in time is a no man's land ,,, heh heh ,,,","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Fkn hell man ,, party time last night and I went full Monty on Quantum Physics , Mechanics , v=d,t on some Managerial post of a Starmap , eventually stating that 1 hour in time is a no man's land ,,, heh heh ,,,</p>",[],[],False,[],,0,0,0,False,True,1.137694107722236e+18,"[{'screen_name': 'tom_watson', 'user_id': '14190551'}]",offensive_language,6
379,379,4479,4479,CarolynRodham,Mahlers5th,91158484,1174009175808073732,/CarolynRodham/status/1174009175808073732,2019-09-17 17:16:14,1568740574,Love Biaggi and respect her endorsement but Warren has a real problem with black voters that she needs to address. That crowd last night was very white.,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Love Biaggi and respect her endorsement but Warren has a real problem with black voters that she needs to address. That crowd last night was very white.</p>",[],[],False,[],,0,0,0,False,True,1.1739677027776512e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,9
387,387,4031,4031,jeffreyrspence,Jeff Spence,2298267091,1183788927620210691,/jeffreyrspence/status/1183788927620210691,2019-10-14 16:57:28,1571072248,Seriously who the hell votes Tory?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Seriously who the hell votes Tory?</p>",[],[],False,[],,1,0,0,False,True,1.1837851471807488e+18,"[{'screen_name': 'tom_watson', 'user_id': '14190551'}]",offensive_language,10
431,431,7744,7744,Derpaler,derpy,1183589207266099201,1195523893970124800,/Derpaler/status/1195523893970124800,2019-11-16 02:08:02,1573870082,pic.twitter.com/o2qE6G5Hk5,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/o2qE6G5Hk5"">pic.twitter.com/o2qE6G5Hk5</a></p>",[],[],True,['https://pbs.twimg.com/media/EJdapGrU0AAMYod.jpg'],,0,0,0,False,True,1.1953382460724756e+18,"[{'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,11
433,433,8142,8142,JohnNemeth19,John Nemeth,943192405351718912,1187143324819263490,/JohnNemeth19/status/1187143324819263490,2019-10-23 23:06:39,1571871999,"Yeah, I mean, why should regular voters be the target of political ads? 

I guess the goal here is to kick ass in the crucial Brooklyn millennial primary?","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Yeah, I mean, why should regular voters be the target of political ads? 

I guess the goal here is to kick ass in the crucial Brooklyn millennial primary?</p>",[],[],False,[],,4,0,1,True,True,1.1871361725370573e+18,"[{'screen_name': 'ThisTooShallPax', 'user_id': '1141807210693111809'}, {'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,10
441,441,2809,2809,Bookhimdannom1,jack Lord oatkon,743561589480103936,1190358645260931073,/Bookhimdannom1/status/1190358645260931073,2019-11-01 20:03:11,1572638591,"Can't wait to see what Sarah Vine says about it ... she's normally on the ball when she's criticising corrupt politicians ... this should be a home run for her. It's a given, or a Goven even ...pic.twitter.com/G2QlKpYvW8","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Can't wait to see what Sarah Vine says about it ... she's normally on the ball when she's criticising corrupt politicians ... this should be a home run for her. It's a given, or a Goven even ...<a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/G2QlKpYvW8"">pic.twitter.com/G2QlKpYvW8</a></p>",[],[],True,['https://pbs.twimg.com/media/EIUA1xVXsAA4aH_.jpg'],,1,0,0,False,True,1.1903429484766085e+18,"[{'screen_name': 'peterjukes', 'user_id': '45715838'}, {'screen_name': 'Byline_Media', 'user_id': '3052530873'}]",offensive_language,11
446,446,5286,5286,yernotmyrealmom,Cami Peterson,757784161163747332,1163928076071235584,/yernotmyrealmom/status/1163928076071235584,2019-08-20 21:37:32,1566337052,What the....she doesn't gain anything from Bernie winning other than seeing other people suffer LESS. The fuck is wrong with you that you'd have an actual problem with that???,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">What the....she doesn't gain anything from Bernie winning other than seeing other people suffer LESS. The fuck is wrong with you that you'd have an actual problem with that???</p>",[],[],False,[],,1,0,1,True,True,1.1635400082104443e+18,"[{'screen_name': 'RelativelySane0', 'user_id': '169947725'}, {'screen_name': 'ReignOfApril', 'user_id': '119972954'}, {'screen_name': 'tomwatson', 'user_id': '1049171'}]",offensive_language,8
448,448,4393,4393,BenjaminVanlier,Benjamin vanLier,3153043165,1174022348846063616,/BenjaminVanlier/status/1174022348846063616,2019-09-17 18:08:34,1568743714,Way to jump to racism to attempt to side step the issues. Do you think the 54 people killed by guns in Chicago last week were killed by angry white men?,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Way to jump to racism to attempt to side step the issues. Do you think the 54 people killed by guns in Chicago last week were killed by angry white men?</p>",[],[],False,[],,1,0,0,False,True,1.1736538119379108e+18,"[{'screen_name': 'ScorpioWA', 'user_id': '18109266'}, {'screen_name': 'frankreddy62', 'user_id': '864816924'}]",offensive_language,9
458,458,322,322,MannersJack,Jack Manners Ã°ÂÂÂ± Ã°ÂÂÂ¬Ã°ÂÂÂ§Ã°ÂÂÂ¬Ã°ÂÂÂ§ British Independence Ã°ÂÂÂ,1103215155914162176,1160674118783721478,/MannersJack/status/1160674118783721478,2019-08-11 22:07:28,1565561248,Twat. All good stuff re keeping the UK together but what about the the same respect applied to UK voters in the the 2016 Referendum where the majority voted to Leave. Why have Labour turned against that one. YouÃ¢ÂÂre just another bloody hypocrite Mr Slim Jim,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Twat. All good stuff re keeping the UK together but what about the the same respect applied to UK voters in the the 2016 Referendum where the majority voted to Leave. Why have Labour turned against that one. YouÃ¢ÂÂre just another bloody hypocrite Mr Slim Jim</p>",[],[],False,[],,52,12,1,True,True,1.1605970915106406e+18,"[{'screen_name': 'tom_watson', 'user_id': '14190551'}]",offensive_language,8
